linear,angular,rpm_1,rpm_2,rpm_3,rpm_4,timestamp
0,0,0,0,0,0,1708826247.7
0,0,0,0,0,0,1708826247.87
0,0,0,0,0,0,1708826247.95
0,0,0,0,0,0,1708826248.05
0,0,0,0,0,0,1708826248.22
0,0,0,0,0,0,1708826248.29
0,0,0,0,0,0,1708826444.97
0,0,0,0,0,0,1708826444.97
0,0,0,0,0,0,1708826445.03
0,0,0,0,0,0,1708826445.08
0,0,0,0,0,0,1708826445.14
0,0,0,0,0,0,1708826445.14
0,0,0,0,0,0,1708826445.25
0,0,0,0,0,0,1708826445.33
0,0,0,0,0,0,1708826445.63
0,0,0,0,0,0,1708826445.63
0,0,0,0,0,0,1708826445.63
0,0,0,0,0,0,1708826445.73
0,0,0,0,0,0,1708826445.86
0,0,0,0,0,0,1708826445.96
0,0,0,0,0,0,1708826446.03
0,0,0,0,0,0,1708826446.13
0,0,0,0,0,0,1708826446.25
0,0,0,0,0,0,1708826446.36
0,0,0,0,0,0,1708826446.47
0,0,0,0,0,0,1708826446.55
0,0,0,0,0,0,1708826446.64
0,0,0,0,0,0,1708826446.77
0,0,0,0,0,0,1708826446.87
0,0,0,0,0,0,1708826446.94
0,0,0,0,0,0,1708826447.11
0,0,0,0,0,0,1708826447.17
0,0,0,0,0,0,1708826447.27
0,0,0,0,0,0,1708826447.35
0,0,0,0,0,0,1708826447.48
0,0,0,0,0,0,1708826447.59
0,0,0,0,0,0,1708826447.65
0,0,0,0,0,0,1708826447.84
0,0,0,0,0,0,1708826447.89
0,0,0,0,0,0,1708826447.95
0,0,0,0,0,0,1708826448.63
0,0,0,0,0,0,1708826448.67
0,0,0,0,0,0,1708826448.67
0,0,0,0,0,0,1708826448.74
0,0,0,0,0,0,1708826448.79
0,0,0,0,0,0,1708826448.85
0,0,0,0,0,0,1708826448.91
0,0,0,0,0,0,1708826448.91
0,0,0,0,0,0,1708826448.97
0,0,0,0,0,0,1708826449.04
0.7,0,0,0,0,0,1708826449.62
0,0,0,0,0,0,1708826449.67
0.7,0,0,0,0,0,1708826449.72
0,0,0,0,0,0,1708826449.72
0.7,0,0,0,0,0,1708826449.81
0,0,0,0,0,0,1708826449.87
0.7,0,0,0,0,0,1708826449.91
0,0,0,0,0,0,1708826449.91
0.7,0,0,0,0,0,1708826450.04
0,0,0,0,0,0,1708826450.04
0,0,0,0,0,0,1708826450.36
0.7,0,0,0,0,0,1708826450.43
0,0,0,0,0,0,1708826450.49
0.7,0,0,0,0,0,1708826450.55
0,0,0,0,0,0,1708826450.55
0.7,0,0,0,0,0,1708826450.63
0.7,0,0,0,0,0,1708826450.72
0.7,0,0,0,0,0,1708826450.8
0.7,0,0,0,0,0,1708826450.89
0.7,0,0,0,0,0,1708826451.06
0.7,0,0,0,0,0,1708826451.11
0.7,0,0,0,0,0,1708826451.19
0.7,0,0,0,0,0,1708826451.32
0.7,0,43,43,42,41,1708826451.42
0.7,0,43,43,42,41,1708826451.51
0.7,0,43,43,42,41,1708826451.6
0.7,0,43,43,42,41,1708826451.72
0.7,0,43,43,42,41,1708826451.86
0.7,0,43,43,42,41,1708826451.93
0.7,0,43,43,42,41,1708826452.07
0.7,0,43,43,42,41,1708826452.11
0.7,0,43,43,42,41,1708826452.23
0.7,0,43,43,42,41,1708826452.43
0.7,0,43,43,42,41,1708826452.43
0.7,0,43,43,42,41,1708826452.51
0.7,0,43,43,42,41,1708826452.61
0.7,0,43,43,42,41,1708826452.73
0.7,0,43,43,42,41,1708826452.87
0.7,0,43,43,42,41,1708826452.94
0.7,0,43,43,42,41,1708826453.06
0.7,0,43,43,42,41,1708826453.15
0.7,0,43,43,42,41,1708826453.25
0.7,0,43,43,42,41,1708826453.35
0.7,0,43,43,42,41,1708826453.42
0.7,0,43,43,42,41,1708826453.53
0.7,0,43,43,42,41,1708826453.65
0.7,0,43,43,42,41,1708826453.8
0.7,0,43,43,42,41,1708826453.86
0.7,0,43,43,42,41,1708826453.96
0.7,0,43,43,42,41,1708826454.07
0.7,0,43,43,42,41,1708826454.14
0.7,0,43,43,42,41,1708826454.26
0.7,0,43,43,42,41,1708826454.4
0.7,0,89,86,87,87,1708826454.47
0.7,0,89,86,87,87,1708826454.55
0.7,0,89,86,87,87,1708826454.64
0.7,0,89,86,87,90,1708826454.79
0.7,0,89,86,87,90,1708826454.87
0.7,0,89,86,87,90,1708826454.94
0.7,0,89,86,87,90,1708826455.09
0.7,0,89,86,87,90,1708826455.15
0.7,0,89,86,87,90,1708826455.28
